"","solution","std.error","z.ratio"
"vm(ID, ginv)_No_519586",0.677232965038792,0.810238797468929,0.835843663811671
"vm(ID, ginv)_No_519587",0.3939962545208,0.814338754633914,0.483823534467448
"vm(ID, ginv)_No_519588",1.699327358871,0.817476720622498,2.07874709579128
"vm(ID, ginv)_No_519589",0.255099255472322,0.819319249760308,0.31135513482315
"vm(ID, ginv)_No_519590",0.517025672778078,0.780381723561733,0.662529192019421
"vm(ID, ginv)_No_519591",0.299914845216721,0.789887156372651,0.379693279979384
"vm(ID, ginv)_No_519592",0.78861210177975,0.782167872843599,1.00823893330306
"vm(ID, ginv)_No_519593",0.379717443312935,0.789975795942658,0.48066971831691
"vm(ID, ginv)_No_519594",0.35303287035799,0.795540275461932,0.443764924601713
"vm(ID, ginv)_No_519595",0.598611593665494,0.801682126508885,0.746694448923653
"vm(ID, ginv)_No_519596",0.284376671035738,0.794579537921381,0.357895789488447
"vm(ID, ginv)_No_519597",0.127823902009155,0.791077305779527,0.161582061671201
"vm(ID, ginv)_No_519598",0.970792722815285,0.800907949291988,1.21211522956349
"vm(ID, ginv)_No_519599",0.655235289129169,0.801552250485608,0.817457986964923
"vm(ID, ginv)_No_519600",1.2784508177058,0.80219144643631,1.59369789267294
"vm(ID, ginv)_No_519601",0.405776300461821,0.817174175741843,0.496560357029701
"vm(ID, ginv)_No_519602",0.0405793352765383,0.78321011435636,0.0518115567364529
"vm(ID, ginv)_No_519603",0.26003437011489,0.808710103943613,0.321542130915457
"vm(ID, ginv)_No_519604",1.21368009255569,0.824640592836755,1.47176855359575
"vm(ID, ginv)_No_519605",0.452194895579898,0.807875298928476,0.559733533355538
"vm(ID, ginv)_No_519606",0.325811346725789,0.823740262959833,0.395526795734247
"vm(ID, ginv)_No_519607",-0.00398631781035737,0.809755713369602,-0.00492286469183314
"vm(ID, ginv)_No_519608",0.716805169533797,0.836143857127104,0.857274933522395
"vm(ID, ginv)_No_519609",0.394633923172944,0.796745321804799,0.495307487063763
"vm(ID, ginv)_No_519610",0.039652635164658,0.823338001234607,0.0481608222931509
"vm(ID, ginv)_No_519611",-0.193200331625812,0.800272110200819,-0.241418299054968
"vm(ID, ginv)_No_519612",0.165834810114644,0.807780493787279,0.205296873829086
"vm(ID, ginv)_No_519613",0.809958818059505,0.786100243959813,1.03035054916089
"vm(ID, ginv)_No_519614",-0.11907131664989,0.805639300106208,-0.147797304121327
"vm(ID, ginv)_No_519615",0.0616603814195808,0.8209981259006,0.0751041682975122
"vm(ID, ginv)_No_519616",0.545728752656794,0.812890628767791,0.671343392756329
"vm(ID, ginv)_No_519617",-0.657690257034162,0.782495345994304,-0.840503730023398
"vm(ID, ginv)_No_519618",0.00343533486259837,0.815275664781762,0.00421370955984313
"vm(ID, ginv)_No_519619",0.150948275760207,0.810127863138416,0.186326483297879
"vm(ID, ginv)_No_519620",0.539857788215483,0.818940235506385,0.65921512316667
"vm(ID, ginv)_No_519621",-0.396823251551467,0.841520757548776,-0.471554917679457
"vm(ID, ginv)_No_519622",-0.453895485197228,0.812038433108912,-0.558958131402077
"vm(ID, ginv)_No_519623",0.825745853394429,0.798956542933541,1.03353037245621
"vm(ID, ginv)_No_519624",1.05087412604502,0.798998368121591,1.31523938968183
"vm(ID, ginv)_No_519625",0.935565762119213,0.818448439119829,1.14309676382954
"vm(ID, ginv)_No_519626",0.82366119242357,0.820453260545698,1.00390995079444
"vm(ID, ginv)_No_519627",-1.00385907014248,0.777498184502841,-1.29114008257702
"vm(ID, ginv)_No_519628",0.0951696652806965,0.804411392985273,0.118309693411365
"vm(ID, ginv)_No_519629",0.236190785611479,0.799731904055465,0.295337455481954
"vm(ID, ginv)_No_519630",0.397561067874689,0.83165647169418,0.478035200116716
"vm(ID, ginv)_No_519631",0.466907621637236,0.789921825163901,0.591080796559023
"vm(ID, ginv)_No_519632",-0.152013920379703,0.82824197130708,-0.1835380548752
"vm(ID, ginv)_No_519633",0.470122696424905,0.802406832155554,0.585890694826196
"vm(ID, ginv)_No_519634",0.554009566472401,0.821028494010627,0.674775078470334
"vm(ID, ginv)_No_519635",0.572792226815061,0.795056568192004,0.720442104034959
"vm(ID, ginv)_No_519636",0.0975494161324091,0.803269164239073,0.121440508954202
"vm(ID, ginv)_No_519637",1.02763804601937,0.821172720209045,1.25142740464852
"vm(ID, ginv)_No_519638",0.266048538883198,0.809144701834203,0.328802176273426
"vm(ID, ginv)_No_519639",0.207520467944514,0.798721290646605,0.25981587116141
"vm(ID, ginv)_No_519640",-0.0148017826597009,0.797806914580259,-0.0185530889607399
"vm(ID, ginv)_No_519641",0.377180872588204,0.807869550760354,0.466883387588018
